"Species code","Species name","Province","Year","Annual age ratio"
"1290","Common Merganser","Nova Scotia","1983","3.8"
"1290","Common Merganser","Ontario","1983","2.92"
"1290","Common Merganser","Prince Edward Island","1983",""
"1290","Common Merganser","Quebec","1983","1.82"
"1290","Common Merganser","Alberta","1984",""
"1290","Common Merganser","British Columbia","1984",""
"1290","Common Merganser","New Brunswick","1984",""
"1290","Common Merganser","Newfoundland and Labrador","1984",""
"1290","Common Merganser","Nova Scotia","1984","2.83"
"1290","Common Merganser","Ontario","1984","1.24"
"1290","Common Merganser","Prince Edward Island","1984",""
"1290","Common Merganser","Quebec","1984","2.06"
"1290","Common Merganser","Alberta","1985",""
"1290","Common Merganser","British Columbia","1985",""
"1290","Common Merganser","New Brunswick","1985",""
"1290","Common Merganser","Newfoundland and Labrador","1985","12"
"1290","Common Merganser","Nova Scotia","1985","20"
"1290","Common Merganser","Ontario","1985","3"
"1290","Common Merganser","Quebec","1985","3.9"
"1290","Common Merganser","Alberta","1986",""
"1290","Common Merganser","British Columbia","1986",""
"1290","Common Merganser","New Brunswick","1986",""
"1290","Common Merganser","Newfoundland and Labrador","1986","29"
"1290","Common Merganser","Nova Scotia","1986","2.83"
"1290","Common Merganser","Northwest Territories","1986",""
"1290","Common Merganser","Ontario","1986","1.12"
"1290","Common Merganser","Prince Edward Island","1986",""
"1290","Common Merganser","Quebec","1986","2.14"
"1290","Common Merganser","Alberta","1987",""
"1290","Common Merganser","British Columbia","1987",""
"1290","Common Merganser","Manitoba","1987",""
"1290","Common Merganser","New Brunswick","1987",""
"1290","Common Merganser","Newfoundland and Labrador","1987",""
"1290","Common Merganser","Nova Scotia","1987","2.83"
"1290","Common Merganser","Ontario","1987",""
"1290","Common Merganser","Quebec","1987","2.39"
"1290","Common Merganser","Saskatchewan","1987",""
"1290","Common Merganser","Alberta","1988",""
"1290","Common Merganser","British Columbia","1988",""
"1290","Common Merganser","New Brunswick","1988",""
"1290","Common Merganser","Newfoundland and Labrador","1988",""
"1290","Common Merganser","Nova Scotia","1988","3.2"
"1290","Common Merganser","Ontario","1988","1.21"
"1290","Common Merganser","Quebec","1988","5.11"
"1290","Common Merganser","Alberta","1989",""
"1290","Common Merganser","New Brunswick","1989",""
"1290","Common Merganser","Newfoundland and Labrador","1989","5"
"1290","Common Merganser","Nova Scotia","1989","2"
"1290","Common Merganser","Ontario","1989",""
"1290","Common Merganser","Quebec","1989","3.36"
"1290","Common Merganser","Alberta","1990",""
"1290","Common Merganser","New Brunswick","1990",""
"1290","Common Merganser","Newfoundland and Labrador","1990","7.67"
"1290","Common Merganser","Nova Scotia","1990",""
"1290","Common Merganser","Ontario","1990","1.78"
"1290","Common Merganser","Quebec","1990","3.47"
"1290","Common Merganser","British Columbia","1991",""
"1290","Common Merganser","New Brunswick","1991",""
"1290","Common Merganser","Newfoundland and Labrador","1991",""
"1290","Common Merganser","Nova Scotia","1991",""
"1290","Common Merganser","Ontario","1991",""
"1290","Common Merganser","Quebec","1991","2.24"
"1290","Common Merganser","Manitoba","1992",""
"1290","Common Merganser","New Brunswick","1992",""
"1290","Common Merganser","Newfoundland and Labrador","1992","3.29"
"1290","Common Merganser","Nova Scotia","1992",""
"1290","Common Merganser","Ontario","1992","1.75"
"1290","Common Merganser","Prince Edward Island","1992",""
"1290","Common Merganser","Quebec","1992","1.86"
"1290","Common Merganser","British Columbia","1993",""
"1290","Common Merganser","New Brunswick","1993",""
"1290","Common Merganser","Newfoundland and Labrador","1993",""
"1290","Common Merganser","Nova Scotia","1993","4.5"
"1290","Common Merganser","Ontario","1993",""
"1290","Common Merganser","Quebec","1993","4.55"
"1290","Common Merganser","Yukon Territory","1993",""
"1290","Common Merganser","British Columbia","1994",""
"1290","Common Merganser","New Brunswick","1994",""
"1290","Common Merganser","Newfoundland and Labrador","1994","8"
"1290","Common Merganser","Nova Scotia","1994","2"
"1290","Common Merganser","Ontario","1994","5.25"
"1290","Common Merganser","Quebec","1994","6.33"
"1290","Common Merganser","Yukon Territory","1994",""
"1290","Common Merganser","New Brunswick","1995",""
"1290","Common Merganser","Newfoundland and Labrador","1995","28"
"1290","Common Merganser","Nova Scotia","1995","5.5"
"1290","Common Merganser","Ontario","1995",""
"1290","Common Merganser","Prince Edward Island","1995",""
"1290","Common Merganser","Quebec","1995","8"
"1290","Common Merganser","Alberta","1996",""
"1290","Common Merganser","New Brunswick","1996",""
"1290","Common Merganser","Newfoundland and Labrador","1996","1.67"
"1290","Common Merganser","Nova Scotia","1996","1.5"
"1290","Common Merganser","Ontario","1996","2.78"
"1290","Common Merganser","Prince Edward Island","1996",""
"1290","Common Merganser","Quebec","1996","1.56"
"1290","Common Merganser","New Brunswick","1997",""
"1290","Common Merganser","Newfoundland and Labrador","1997","7.6"
"1290","Common Merganser","Nova Scotia","1997",""
"1290","Common Merganser","Ontario","1997","3.11"
"1290","Common Merganser","Quebec","1997","3.58"
"1290","Common Merganser","British Columbia","1998",""
"1290","Common Merganser","Newfoundland and Labrador","1998","3.17"
"1290","Common Merganser","Nova Scotia","1998",""
"1290","Common Merganser","Ontario","1998","3.25"
"1290","Common Merganser","Quebec","1998","4.08"
"1290","Common Merganser","New Brunswick","1999",""
"1290","Common Merganser","Newfoundland and Labrador","1999","4"
"1290","Common Merganser","Nova Scotia","1999",""
"1290","Common Merganser","Ontario","1999","1.29"
"1290","Common Merganser","Quebec","1999","1.95"
"1290","Common Merganser","British Columbia","2000",""
"1290","Common Merganser","New Brunswick","2000",""
"1290","Common Merganser","Newfoundland and Labrador","2000","8"
"1290","Common Merganser","Nova Scotia","2000",""
"1290","Common Merganser","Ontario","2000",""
"1290","Common Merganser","Prince Edward Island","2000",""
"1290","Common Merganser","Quebec","2000","2"
"1290","Common Merganser","New Brunswick","2001",""
"1290","Common Merganser","Newfoundland and Labrador","2001","3.25"
"1290","Common Merganser","Nova Scotia","2001",""
"1290","Common Merganser","Ontario","2001",""
"1290","Common Merganser","Quebec","2001","2.83"
"1290","Common Merganser","New Brunswick","2002",""
"1290","Common Merganser","Newfoundland and Labrador","2002","2.5"
"1290","Common Merganser","Nova Scotia","2002",""
"1290","Common Merganser","Ontario","2002",""
"1290","Common Merganser","Prince Edward Island","2002",""
"1290","Common Merganser","Quebec","2002","1.73"
"1290","Common Merganser","Alberta","2003",""
"1290","Common Merganser","New Brunswick","2003",""
"1290","Common Merganser","Newfoundland and Labrador","2003","1.18"
"1290","Common Merganser","Nova Scotia","2003","3.33"
"1290","Common Merganser","Ontario","2003",""
"1290","Common Merganser","Quebec","2003","4.13"
"1290","Common Merganser","British Columbia","2004",""
"1290","Common Merganser","New Brunswick","2004",""
"1290","Common Merganser","Newfoundland and Labrador","2004","2.56"
"1290","Common Merganser","Nova Scotia","2004","2.43"
"1290","Common Merganser","Ontario","2004",""
"1290","Common Merganser","Prince Edward Island","2004",""
"1290","Common Merganser","Quebec","2004","1.27"
"1290","Common Merganser","British Columbia","2005",""
"1290","Common Merganser","New Brunswick","2005",""
"1290","Common Merganser","Newfoundland and Labrador","2005","5.6"
"1290","Common Merganser","Nova Scotia","2005",""
"1290","Common Merganser","Ontario","2005",""
"1290","Common Merganser","Prince Edward Island","2005",""
"1290","Common Merganser","Quebec","2005",""
"1290","Common Merganser","Alberta","2006",""
"1290","Common Merganser","Newfoundland and Labrador","2006",""
"1290","Common Merganser","Nova Scotia","2006",""
"1290","Common Merganser","Ontario","2006",""
"1290","Common Merganser","Prince Edward Island","2006",""
"1290","Common Merganser","Quebec","2006",""
"1290","Common Merganser","New Brunswick","2007",""
"1290","Common Merganser","Newfoundland and Labrador","2007","2.86"
"1290","Common Merganser","Nova Scotia","2007",""
"1290","Common Merganser","Ontario","2007",""
"1290","Common Merganser","Prince Edward Island","2007",""
"1290","Common Merganser","Quebec","2007","0.68"
"1290","Common Merganser","British Columbia","2008",""
"1290","Common Merganser","New Brunswick","2008",""
"1290","Common Merganser","Newfoundland and Labrador","2008",""
"1290","Common Merganser","Nova Scotia","2008",""
"1290","Common Merganser","Ontario","2008",""
"1290","Common Merganser","Prince Edward Island","2008",""
"1290","Common Merganser","Quebec","2008",""
"1290","Common Merganser","Newfoundland and Labrador","2009",""
"1290","Common Merganser","Nova Scotia","2009",""
"1290","Common Merganser","Ontario","2009",""
"1290","Common Merganser","Prince Edward Island","2009",""
"1290","Common Merganser","Quebec","2009",""
"1290","Common Merganser","New Brunswick","2010",""
"1290","Common Merganser","Newfoundland and Labrador","2010",""
"1290","Common Merganser","Nova Scotia","2010",""
"1290","Common Merganser","Ontario","2010",""
"1290","Common Merganser","Quebec","2010","3.6"
"1290","Common Merganser","Newfoundland and Labrador","2011",""
"1290","Common Merganser","Nova Scotia","2011",""
"1290","Common Merganser","Ontario","2011",""
"1290","Common Merganser","Prince Edward Island","2011",""
"1290","Common Merganser","Quebec","2011","0.78"
"1290","Common Merganser","British Columbia","2012",""
"1290","Common Merganser","New Brunswick","2012",""
"1290","Common Merganser","Newfoundland and Labrador","2012",""
"1290","Common Merganser","Nova Scotia","2012",""
"1290","Common Merganser","Ontario","2012",""
"1290","Common Merganser","Prince Edward Island","2012",""
"1290","Common Merganser","Quebec","2012","1"
"1290","Common Merganser","British Columbia","2013",""
"1290","Common Merganser","New Brunswick","2013",""
"1290","Common Merganser","Newfoundland and Labrador","2013",""
"1290","Common Merganser","Nova Scotia","2013",""
"1290","Common Merganser","Ontario","2013",""
"1290","Common Merganser","Prince Edward Island","2013",""
"1290","Common Merganser","Quebec","2013",""
"1290","Common Merganser","British Columbia","2014",""
"1290","Common Merganser","Newfoundland and Labrador","2014",""
"1290","Common Merganser","Nova Scotia","2014",""
"1290","Common Merganser","Ontario","2014","0.36"
"1290","Common Merganser","Quebec","2014",""
"1290","Common Merganser","British Columbia","2015",""
"1290","Common Merganser","Manitoba","2015",""
"1290","Common Merganser","New Brunswick","2015",""
"1290","Common Merganser","Newfoundland and Labrador","2015",""
"1290","Common Merganser","Nova Scotia","2015",""
"1290","Common Merganser","Ontario","2015",""
"1290","Common Merganser","Quebec","2015",""
"1290","Common Merganser","British Columbia","2016",""
"1290","Common Merganser","Newfoundland and Labrador","2016",""
"1290","Common Merganser","Nova Scotia","2016",""
"1290","Common Merganser","Ontario","2016",""
"1290","Common Merganser","Quebec","2016",""
"1290","Common Merganser","New Brunswick","2017",""
"1290","Common Merganser","Newfoundland and Labrador","2017",""
"1290","Common Merganser","Nova Scotia","2017",""
"1290","Common Merganser","Ontario","2017",""
"1290","Common Merganser","Quebec","2017",""
"1290","Common Merganser","New Brunswick","2018",""
"1290","Common Merganser","Newfoundland and Labrador","2018",""
"1290","Common Merganser","Nova Scotia","2018",""
"1290","Common Merganser","Ontario","2018",""
"1290","Common Merganser","Quebec","2018",""
"1300","Red-breasted Merganser","New Brunswick","1969",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1969",""
"1300","Red-breasted Merganser","Nova Scotia","1969",""
"1300","Red-breasted Merganser","Ontario","1969",""
"1300","Red-breasted Merganser","Prince Edward Island","1969",""
"1300","Red-breasted Merganser","Quebec","1969",""
"1300","Red-breasted Merganser","Alberta","1970",""
"1300","Red-breasted Merganser","Manitoba","1970",""
"1300","Red-breasted Merganser","New Brunswick","1970",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1970","8.33"
"1300","Red-breasted Merganser","Nova Scotia","1970","2.11"
"1300","Red-breasted Merganser","Ontario","1970",""
"1300","Red-breasted Merganser","Prince Edward Island","1970",""
"1300","Red-breasted Merganser","Quebec","1970","3"
"1300","Red-breasted Merganser","British Columbia","1971",""
"1300","Red-breasted Merganser","New Brunswick","1971","5.25"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1971",""
"1300","Red-breasted Merganser","Nova Scotia","1971","1.27"
"1300","Red-breasted Merganser","Ontario","1971",""
"1300","Red-breasted Merganser","Prince Edward Island","1971",""
"1300","Red-breasted Merganser","Quebec","1971","5"
"1300","Red-breasted Merganser","Alberta","1972",""
"1300","Red-breasted Merganser","British Columbia","1972",""
"1300","Red-breasted Merganser","Manitoba","1972",""
"1300","Red-breasted Merganser","New Brunswick","1972",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1972","1.82"
"1300","Red-breasted Merganser","Nova Scotia","1972","0.75"
"1300","Red-breasted Merganser","Ontario","1972","1.94"
"1300","Red-breasted Merganser","Prince Edward Island","1972",""
"1300","Red-breasted Merganser","Quebec","1972","3.29"
"1300","Red-breasted Merganser","Alberta","1973",""
"1300","Red-breasted Merganser","British Columbia","1973",""
"1300","Red-breasted Merganser","New Brunswick","1973","19"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1973",""
"1300","Red-breasted Merganser","Nova Scotia","1973","5.75"
"1300","Red-breasted Merganser","Ontario","1973","7.33"
"1300","Red-breasted Merganser","Prince Edward Island","1973",""
"1300","Red-breasted Merganser","Quebec","1973","9.5"
"1300","Red-breasted Merganser","New Brunswick","1974",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1974",""
"1300","Red-breasted Merganser","Nova Scotia","1974","2.29"
"1300","Red-breasted Merganser","Ontario","1974","10"
"1300","Red-breasted Merganser","Prince Edward Island","1974",""
"1300","Red-breasted Merganser","Quebec","1974","5.67"
"1300","Red-breasted Merganser","British Columbia","1975",""
"1300","Red-breasted Merganser","New Brunswick","1975",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1975",""
"1300","Red-breasted Merganser","Nova Scotia","1975",""
"1300","Red-breasted Merganser","Ontario","1975",""
"1300","Red-breasted Merganser","Prince Edward Island","1975",""
"1300","Red-breasted Merganser","Quebec","1975",""
"1300","Red-breasted Merganser","New Brunswick","1976",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1976",""
"1300","Red-breasted Merganser","Nova Scotia","1976",""
"1300","Red-breasted Merganser","Ontario","1976","12.5"
"1300","Red-breasted Merganser","Prince Edward Island","1976","3.33"
"1300","Red-breasted Merganser","Quebec","1976",""
"1300","Red-breasted Merganser","Yukon Territory","1976",""
"1300","Red-breasted Merganser","British Columbia","1977",""
"1300","Red-breasted Merganser","New Brunswick","1977",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1977",""
"1300","Red-breasted Merganser","Nova Scotia","1977","2"
"1300","Red-breasted Merganser","Northwest Territories","1977",""
"1300","Red-breasted Merganser","Ontario","1977",""
"1300","Red-breasted Merganser","Prince Edward Island","1977",""
"1300","Red-breasted Merganser","Quebec","1977",""
"1300","Red-breasted Merganser","New Brunswick","1978",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1978",""
"1300","Red-breasted Merganser","Nova Scotia","1978",""
"1300","Red-breasted Merganser","Ontario","1978",""
"1300","Red-breasted Merganser","Prince Edward Island","1978",""
"1300","Red-breasted Merganser","Quebec","1978",""
"1300","Red-breasted Merganser","British Columbia","1979",""
"1300","Red-breasted Merganser","New Brunswick","1979",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1979",""
"1300","Red-breasted Merganser","Nova Scotia","1979","1.82"
