"Species code","Species name","Province","Year","Estimate","± 1 standard error"
"1290","Common Merganser","Manitoba","1982","1043","144"
"1290","Common Merganser","New Brunswick","1982","1654","150"
"1290","Common Merganser","Newfoundland and Labrador","1982","4834","956"
"1290","Common Merganser","Nova Scotia","1982","1020","97"
"1290","Common Merganser","Ontario","1982","3851","204"
"1290","Common Merganser","Quebec","1982","16713","975"
"1290","Common Merganser","British Columbia","1983","110","16"
"1290","Common Merganser","Manitoba","1983","67","14"
"1290","Common Merganser","New Brunswick","1983","960","197"
"1290","Common Merganser","Newfoundland and Labrador","1983","5428","897"
"1290","Common Merganser","Nova Scotia","1983","1365","138"
"1290","Common Merganser","Ontario","1983","8423","350"
"1290","Common Merganser","Quebec","1983","14258","905"
"1290","Common Merganser","Alberta","1984","887","695"
"1290","Common Merganser","British Columbia","1984","286","0"
"1290","Common Merganser","New Brunswick","1984","895","614"
"1290","Common Merganser","Newfoundland and Labrador","1984","4851","1457"
"1290","Common Merganser","Nova Scotia","1984","1455","661"
"1290","Common Merganser","Ontario","1984","5304","1433"
"1290","Common Merganser","Prince Edward Island","1984","155","0"
"1290","Common Merganser","Quebec","1984","13707","3905"
"1290","Common Merganser","Alberta","1985","136","0"
"1290","Common Merganser","British Columbia","1985","76","181"
"1290","Common Merganser","New Brunswick","1985","599","145"
"1290","Common Merganser","Newfoundland and Labrador","1985","10009","3170"
"1290","Common Merganser","Nova Scotia","1985","1556","1910"
"1290","Common Merganser","Ontario","1985","4116","1822"
"1290","Common Merganser","Quebec","1985","11839","2241"
"1290","Common Merganser","Alberta","1986","291","155"
"1290","Common Merganser","British Columbia","1986","242","225"
"1290","Common Merganser","New Brunswick","1986","1170","1158"
"1290","Common Merganser","Newfoundland and Labrador","1986","9429","4998"
"1290","Common Merganser","Nova Scotia","1986","1293","1056"
"1290","Common Merganser","Northwest Territories","1986","159","102"
"1290","Common Merganser","Ontario","1986","6726","2775"
"1290","Common Merganser","Prince Edward Island","1986","51","91"
"1290","Common Merganser","Quebec","1986","11329","5458"
"1290","Common Merganser","British Columbia","1987","233","121"
"1290","Common Merganser","Manitoba","1987","652","629"
"1290","Common Merganser","New Brunswick","1987","1268","1467"
"1290","Common Merganser","Newfoundland and Labrador","1987","8628","3316"
"1290","Common Merganser","Nova Scotia","1987","1052","764"
"1290","Common Merganser","Ontario","1987","2881","794"
"1290","Common Merganser","Quebec","1987","10729","4060"
"1290","Common Merganser","Alberta","1988","166","93"
"1290","Common Merganser","British Columbia","1988","273","271"
"1290","Common Merganser","New Brunswick","1988","737","224"
"1290","Common Merganser","Newfoundland and Labrador","1988","8912","3670"
"1290","Common Merganser","Nova Scotia","1988","1065","328"
"1290","Common Merganser","Ontario","1988","4971","1612"
"1290","Common Merganser","Quebec","1988","7766","2247"
"1290","Common Merganser","Alberta","1989","150","177"
"1290","Common Merganser","New Brunswick","1989","1356","1067"
"1290","Common Merganser","Newfoundland and Labrador","1989","5265","1679"
"1290","Common Merganser","Nova Scotia","1989","2220","879"
"1290","Common Merganser","Ontario","1989","2497","1127"
"1290","Common Merganser","Quebec","1989","7531","3565"
"1290","Common Merganser","Alberta","1990","368","247"
"1290","Common Merganser","New Brunswick","1990","430","342"
"1290","Common Merganser","Newfoundland and Labrador","1990","4586","2070"
"1290","Common Merganser","Nova Scotia","1990","1127","464"
"1290","Common Merganser","Ontario","1990","3264","1071"
"1290","Common Merganser","Quebec","1990","11062","5826"
"1290","Common Merganser","British Columbia","1991","69","257"
"1290","Common Merganser","New Brunswick","1991","568","450"
"1290","Common Merganser","Newfoundland and Labrador","1991","373","312"
"1290","Common Merganser","Nova Scotia","1991","832","210"
"1290","Common Merganser","Ontario","1991","2380","755"
"1290","Common Merganser","Quebec","1991","9946","3367"
"1290","Common Merganser","New Brunswick","1992","559","229"
"1290","Common Merganser","Newfoundland and Labrador","1992","5693","1800"
"1290","Common Merganser","Nova Scotia","1992","813","418"
"1290","Common Merganser","Ontario","1992","5403","1302"
"1290","Common Merganser","Prince Edward Island","1992","113","113"
"1290","Common Merganser","Quebec","1992","7658","1593"
"1290","Common Merganser","British Columbia","1993","67","58"
"1290","Common Merganser","New Brunswick","1993","137","107"
"1290","Common Merganser","Newfoundland and Labrador","1993","3711","1026"
"1290","Common Merganser","Nova Scotia","1993","1332","337"
"1290","Common Merganser","Ontario","1993","1723","664"
"1290","Common Merganser","Quebec","1993","5252","996"
"1290","Common Merganser","Yukon Territory","1993","53","51"
"1290","Common Merganser","British Columbia","1994","130","45"
"1290","Common Merganser","New Brunswick","1994","331","178"
"1290","Common Merganser","Newfoundland and Labrador","1994","6908","2049"
"1290","Common Merganser","Nova Scotia","1994","1146","450"
"1290","Common Merganser","Ontario","1994","2666","728"
"1290","Common Merganser","Quebec","1994","6403","1429"
"1290","Common Merganser","Yukon Territory","1994","64","69"
"1290","Common Merganser","New Brunswick","1995","93","155"
"1290","Common Merganser","Newfoundland and Labrador","1995","4614","895"
"1290","Common Merganser","Nova Scotia","1995","1763","534"
"1290","Common Merganser","Ontario","1995","1220","563"
"1290","Common Merganser","Prince Edward Island","1995","675","0"
"1290","Common Merganser","Quebec","1995","8474","1977"
"1290","Common Merganser","Alberta","1996","181","0"
"1290","Common Merganser","New Brunswick","1996","455","308"
"1290","Common Merganser","Newfoundland and Labrador","1996","5031","919"
"1290","Common Merganser","Nova Scotia","1996","1690","611"
"1290","Common Merganser","Ontario","1996","2669","647"
"1290","Common Merganser","Prince Edward Island","1996","831","193"
"1290","Common Merganser","Quebec","1996","5300","1127"
"1290","Common Merganser","New Brunswick","1997","199","0"
"1290","Common Merganser","Newfoundland and Labrador","1997","4382","834"
"1290","Common Merganser","Nova Scotia","1997","2087","1245"
"1290","Common Merganser","Ontario","1997","2304","851"
"1290","Common Merganser","Quebec","1997","5976","1137"
"1290","Common Merganser","British Columbia","1998","82","101"
"1290","Common Merganser","Newfoundland and Labrador","1998","4020","741"
"1290","Common Merganser","Nova Scotia","1998","2398","937"
"1290","Common Merganser","Ontario","1998","2208","551"
"1290","Common Merganser","Quebec","1998","3851","753"
"1290","Common Merganser","New Brunswick","1999","155","126"
"1290","Common Merganser","Newfoundland and Labrador","1999","2580","794"
"1290","Common Merganser","Nova Scotia","1999","664","491"
"1290","Common Merganser","Ontario","1999","2151","451"
"1290","Common Merganser","Quebec","1999","4372","696"
"1290","Common Merganser","British Columbia","2000","36","0"
"1290","Common Merganser","New Brunswick","2000","90","144"
"1290","Common Merganser","Newfoundland and Labrador","2000","3084","784"
"1290","Common Merganser","Nova Scotia","2000","368","0"
"1290","Common Merganser","Ontario","2000","1215","322"
"1290","Common Merganser","Prince Edward Island","2000","309","0"
"1290","Common Merganser","Quebec","2000","2906","622"
"1290","Common Merganser","New Brunswick","2001","372","0"
"1290","Common Merganser","Newfoundland and Labrador","2001","3270","900"
"1290","Common Merganser","Nova Scotia","2001","691","210"
"1290","Common Merganser","Ontario","2001","1087","323"
"1290","Common Merganser","Quebec","2001","2826","650"
"1290","Common Merganser","New Brunswick","2002","390","211"
"1290","Common Merganser","Newfoundland and Labrador","2002","2235","599"
"1290","Common Merganser","Nova Scotia","2002","670","275"
"1290","Common Merganser","Ontario","2002","942","301"
"1290","Common Merganser","Prince Edward Island","2002","487","328"
"1290","Common Merganser","Quebec","2002","2172","597"
"1290","Common Merganser","Alberta","2003","103","186"
"1290","Common Merganser","New Brunswick","2003","291","326"
"1290","Common Merganser","Newfoundland and Labrador","2003","2387","972"
"1290","Common Merganser","Nova Scotia","2003","1212","389"
"1290","Common Merganser","Ontario","2003","928","374"
"1290","Common Merganser","Quebec","2003","2243","517"
"1290","Common Merganser","British Columbia","2004","59","62"
"1290","Common Merganser","New Brunswick","2004","187","148"
"1290","Common Merganser","Newfoundland and Labrador","2004","4994","1538"
"1290","Common Merganser","Nova Scotia","2004","951","374"
"1290","Common Merganser","Ontario","2004","586","202"
"1290","Common Merganser","Prince Edward Island","2004","124","106"
"1290","Common Merganser","Quebec","2004","1815","597"
"1290","Common Merganser","British Columbia","2005","121","90"
"1290","Common Merganser","New Brunswick","2005","29","20"
"1290","Common Merganser","Newfoundland and Labrador","2005","3436","1106"
"1290","Common Merganser","Nova Scotia","2005","611","290"
"1290","Common Merganser","Ontario","2005","610","250"
"1290","Common Merganser","Prince Edward Island","2005","64","31"
"1290","Common Merganser","Quebec","2005","693","290"
"1290","Common Merganser","Alberta","2006","426","481"
"1290","Common Merganser","Newfoundland and Labrador","2006","721","389"
"1290","Common Merganser","Nova Scotia","2006","463","385"
"1290","Common Merganser","Ontario","2006","1245","466"
"1290","Common Merganser","Prince Edward Island","2006","287","234"
"1290","Common Merganser","Quebec","2006","1177","463"
"1290","Common Merganser","New Brunswick","2007","122","76"
"1290","Common Merganser","Newfoundland and Labrador","2007","3467","1204"
"1290","Common Merganser","Nova Scotia","2007","1032","252"
"1290","Common Merganser","Ontario","2007","904","347"
"1290","Common Merganser","Prince Edward Island","2007","330","361"
"1290","Common Merganser","Quebec","2007","1864","456"
"1290","Common Merganser","British Columbia","2008","32","30"
"1290","Common Merganser","New Brunswick","2008","31","33"
"1290","Common Merganser","Newfoundland and Labrador","2008","2100","1146"
"1290","Common Merganser","Nova Scotia","2008","555","284"
"1290","Common Merganser","Ontario","2008","926","272"
"1290","Common Merganser","Prince Edward Island","2008","94","66"
"1290","Common Merganser","Quebec","2008","983","383"
"1290","Common Merganser","Newfoundland and Labrador","2009","3693","1609"
"1290","Common Merganser","Nova Scotia","2009","872","366"
"1290","Common Merganser","Ontario","2009","2711","1402"
"1290","Common Merganser","Prince Edward Island","2009","370","415"
"1290","Common Merganser","Quebec","2009","1094","365"
"1290","Common Merganser","New Brunswick","2010","514","378"
"1290","Common Merganser","Newfoundland and Labrador","2010","3808","960"
"1290","Common Merganser","Nova Scotia","2010","1563","725"
"1290","Common Merganser","Ontario","2010","709","521"
"1290","Common Merganser","Quebec","2010","1648","536"
"1290","Common Merganser","Newfoundland and Labrador","2011","1045","618"
"1290","Common Merganser","Nova Scotia","2011","1450","901"
"1290","Common Merganser","Ontario","2011","1933","648"
"1290","Common Merganser","Prince Edward Island","2011","354","353"
"1290","Common Merganser","Quebec","2011","2636","747"
"1290","Common Merganser","British Columbia","2012","21","21"
"1290","Common Merganser","New Brunswick","2012","133","109"
"1290","Common Merganser","Newfoundland and Labrador","2012","1597","967"
"1290","Common Merganser","Nova Scotia","2012","435","259"
"1290","Common Merganser","Ontario","2012","930","404"
"1290","Common Merganser","Prince Edward Island","2012","1167","1225"
"1290","Common Merganser","Quebec","2012","2375","599"
"1290","Common Merganser","British Columbia","2013","32","32"
"1290","Common Merganser","New Brunswick","2013","55","77"
"1290","Common Merganser","Newfoundland and Labrador","2013","1472","899"
"1290","Common Merganser","Nova Scotia","2013","623","276"
"1290","Common Merganser","Ontario","2013","766","395"
"1290","Common Merganser","Prince Edward Island","2013","487","655"
"1290","Common Merganser","Quebec","2013","900","321"
"1290","Common Merganser","British Columbia","2014","164","161"
"1290","Common Merganser","Newfoundland and Labrador","2014","2403","1726"
"1290","Common Merganser","Nova Scotia","2014","85","177"
"1290","Common Merganser","Ontario","2014","5250","1599"
"1290","Common Merganser","Quebec","2014","794","310"
"1290","Common Merganser","British Columbia","2015","88","55"
"1290","Common Merganser","Manitoba","2015","101","90"
"1290","Common Merganser","New Brunswick","2015","421","398"
"1290","Common Merganser","Newfoundland and Labrador","2015","8318","3876"
"1290","Common Merganser","Nova Scotia","2015","29","27"
"1290","Common Merganser","Ontario","2015","2270","731"
"1290","Common Merganser","Quebec","2015","1497","563"
"1290","Common Merganser","British Columbia","2016","40","33"
"1290","Common Merganser","Newfoundland and Labrador","2016","540","343"
"1290","Common Merganser","Nova Scotia","2016","49","46"
"1290","Common Merganser","Ontario","2016","939","373"
"1290","Common Merganser","Quebec","2016","593","219"
"1290","Common Merganser","New Brunswick","2017","100","57"
"1290","Common Merganser","Newfoundland and Labrador","2017","459","466"
"1290","Common Merganser","Nova Scotia","2017","285","195"
"1290","Common Merganser","Ontario","2017","1521","723"
"1290","Common Merganser","Quebec","2017","1015","363"
"1290","Common Merganser","New Brunswick","2018","137","140"
"1290","Common Merganser","Newfoundland and Labrador","2018","1396","638"
"1290","Common Merganser","Nova Scotia","2018","217","153"
"1290","Common Merganser","Ontario","2018","1215","527"
"1290","Common Merganser","Quebec","2018","904","348"
"1300","Red-breasted Merganser","New Brunswick","1969","560","265"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1969","3625","1948"
"1300","Red-breasted Merganser","Nova Scotia","1969","1541","297"
"1300","Red-breasted Merganser","Ontario","1969","1320","248"
"1300","Red-breasted Merganser","Prince Edward Island","1969","522","205"
"1300","Red-breasted Merganser","Quebec","1969","2786","447"
"1300","Red-breasted Merganser","Alberta","1970","184","18"
"1300","Red-breasted Merganser","Manitoba","1970","220","9"
"1300","Red-breasted Merganser","New Brunswick","1970","587","247"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1970","5028","2104"
"1300","Red-breasted Merganser","Nova Scotia","1970","2793","500"
"1300","Red-breasted Merganser","Ontario","1970","2540","835"
"1300","Red-breasted Merganser","Prince Edward Island","1970","277","111"
"1300","Red-breasted Merganser","Quebec","1970","4336","708"
"1300","Red-breasted Merganser","British Columbia","1971","57","9"
"1300","Red-breasted Merganser","New Brunswick","1971","1006","444"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1971","912","715"
"1300","Red-breasted Merganser","Nova Scotia","1971","1742","320"
"1300","Red-breasted Merganser","Ontario","1971","1167","253"
"1300","Red-breasted Merganser","Prince Edward Island","1971","567","225"
"1300","Red-breasted Merganser","Quebec","1971","8627","1487"
"1300","Red-breasted Merganser","Alberta","1972","469","23"
"1300","Red-breasted Merganser","British Columbia","1972","161","34"
"1300","Red-breasted Merganser","Manitoba","1972","183","10"
"1300","Red-breasted Merganser","New Brunswick","1972","694","279"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1972","7305","2991"
"1300","Red-breasted Merganser","Nova Scotia","1972","1832","298"
"1300","Red-breasted Merganser","Ontario","1972","6649","2302"
"1300","Red-breasted Merganser","Prince Edward Island","1972","473","175"
"1300","Red-breasted Merganser","Quebec","1972","6016","803"
"1300","Red-breasted Merganser","Alberta","1973","195","10"
"1300","Red-breasted Merganser","British Columbia","1973","318","30"
"1300","Red-breasted Merganser","New Brunswick","1973","1431","696"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1973","2702","1168"
"1300","Red-breasted Merganser","Nova Scotia","1973","1617","288"
"1300","Red-breasted Merganser","Ontario","1973","2366","563"
"1300","Red-breasted Merganser","Prince Edward Island","1973","632","247"
"1300","Red-breasted Merganser","Quebec","1973","3918","546"
"1300","Red-breasted Merganser","New Brunswick","1974","450","171"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1974","5549","2394"
"1300","Red-breasted Merganser","Nova Scotia","1974","2059","324"
"1300","Red-breasted Merganser","Ontario","1974","2754","869"
"1300","Red-breasted Merganser","Prince Edward Island","1974","1760","649"
"1300","Red-breasted Merganser","Quebec","1974","3956","587"
