"Species code","Species name","Province","Zone","Year","Annual age ratio"
"1290","Common Merganser","Newfoundland and Labrador","2","1976",""
"1290","Common Merganser","Nova Scotia","1","1976",""
"1290","Common Merganser","Nova Scotia","2","1976",""
"1290","Common Merganser","Ontario","1","1976",""
"1290","Common Merganser","Ontario","2","1976",""
"1290","Common Merganser","Ontario","3","1976",""
"1290","Common Merganser","Quebec","1","1976",""
"1290","Common Merganser","Quebec","2","1976","1.73"
"1290","Common Merganser","British Columbia","2","1977",""
"1290","Common Merganser","New Brunswick","1","1977",""
"1290","Common Merganser","New Brunswick","2","1977",""
"1290","Common Merganser","Newfoundland and Labrador","1","1977",""
"1290","Common Merganser","Newfoundland and Labrador","2","1977",""
"1290","Common Merganser","Nova Scotia","1","1977",""
"1290","Common Merganser","Nova Scotia","2","1977",""
"1290","Common Merganser","Northwest Territories","1","1977",""
"1290","Common Merganser","Ontario","1","1977",""
"1290","Common Merganser","Ontario","2","1977",""
"1290","Common Merganser","Ontario","3","1977",""
"1290","Common Merganser","Prince Edward Island","1","1977",""
"1290","Common Merganser","Quebec","1","1977",""
"1290","Common Merganser","Quebec","2","1977",""
"1290","Common Merganser","British Columbia","2","1978",""
"1290","Common Merganser","Manitoba","2","1978",""
"1290","Common Merganser","New Brunswick","1","1978",""
"1290","Common Merganser","New Brunswick","2","1978",""
"1290","Common Merganser","Newfoundland and Labrador","1","1978","5.67"
"1290","Common Merganser","Newfoundland and Labrador","2","1978",""
"1290","Common Merganser","Nova Scotia","1","1978",""
"1290","Common Merganser","Nova Scotia","2","1978",""
"1290","Common Merganser","Ontario","1","1978",""
"1290","Common Merganser","Ontario","2","1978",""
"1290","Common Merganser","Ontario","3","1978","3"
"1290","Common Merganser","Prince Edward Island","1","1978",""
"1290","Common Merganser","Quebec","1","1978","1.22"
"1290","Common Merganser","Quebec","2","1978",""
"1290","Common Merganser","Yukon Territory","1","1978",""
"1290","Common Merganser","Alberta","2","1979",""
"1290","Common Merganser","British Columbia","2","1979",""
"1290","Common Merganser","New Brunswick","1","1979",""
"1290","Common Merganser","New Brunswick","2","1979",""
"1290","Common Merganser","Newfoundland and Labrador","1","1979",""
"1290","Common Merganser","Newfoundland and Labrador","2","1979",""
"1290","Common Merganser","Nova Scotia","1","1979",""
"1290","Common Merganser","Nova Scotia","2","1979",""
"1290","Common Merganser","Ontario","1","1979",""
"1290","Common Merganser","Ontario","2","1979",""
"1290","Common Merganser","Ontario","3","1979",""
"1290","Common Merganser","Prince Edward Island","1","1979",""
"1290","Common Merganser","Quebec","1","1979","1.06"
"1290","Common Merganser","Quebec","2","1979",""
"1290","Common Merganser","Saskatchewan","2","1979",""
"1290","Common Merganser","British Columbia","2","1980",""
"1290","Common Merganser","New Brunswick","1","1980",""
"1290","Common Merganser","New Brunswick","2","1980",""
"1290","Common Merganser","Newfoundland and Labrador","1","1980",""
"1290","Common Merganser","Newfoundland and Labrador","2","1980",""
"1290","Common Merganser","Nova Scotia","1","1980",""
"1290","Common Merganser","Nova Scotia","2","1980","3.8"
"1290","Common Merganser","Northwest Territories","1","1980",""
"1290","Common Merganser","Ontario","1","1980",""
"1290","Common Merganser","Ontario","2","1980","3"
"1290","Common Merganser","Ontario","3","1980",""
"1290","Common Merganser","Quebec","1","1980","3"
"1290","Common Merganser","Quebec","2","1980","5.67"
"1290","Common Merganser","Alberta","2","1981",""
"1290","Common Merganser","British Columbia","1","1981",""
"1290","Common Merganser","British Columbia","2","1981",""
"1290","Common Merganser","New Brunswick","1","1981",""
"1290","Common Merganser","New Brunswick","2","1981",""
"1290","Common Merganser","Newfoundland and Labrador","1","1981",""
"1290","Common Merganser","Newfoundland and Labrador","2","1981",""
"1290","Common Merganser","Nova Scotia","1","1981",""
"1290","Common Merganser","Nova Scotia","2","1981",""
"1290","Common Merganser","Ontario","1","1981",""
"1290","Common Merganser","Ontario","2","1981",""
"1290","Common Merganser","Ontario","3","1981","5.8"
"1290","Common Merganser","Quebec","1","1981","6"
"1290","Common Merganser","Quebec","2","1981","21"
"1290","Common Merganser","Saskatchewan","2","1981",""
"1290","Common Merganser","British Columbia","1","1982",""
"1290","Common Merganser","Manitoba","2","1982",""
"1290","Common Merganser","New Brunswick","1","1982",""
"1290","Common Merganser","New Brunswick","2","1982",""
"1290","Common Merganser","Newfoundland and Labrador","1","1982",""
"1290","Common Merganser","Newfoundland and Labrador","2","1982",""
"1290","Common Merganser","Nova Scotia","1","1982",""
"1290","Common Merganser","Nova Scotia","2","1982",""
"1290","Common Merganser","Ontario","1","1982",""
"1290","Common Merganser","Ontario","2","1982",""
"1290","Common Merganser","Ontario","3","1982",""
"1290","Common Merganser","Quebec","1","1982","1.91"
"1290","Common Merganser","Quebec","2","1982","6.5"
"1290","Common Merganser","British Columbia","1","1983",""
"1290","Common Merganser","British Columbia","2","1983",""
"1290","Common Merganser","Manitoba","2","1983",""
"1290","Common Merganser","New Brunswick","1","1983",""
"1290","Common Merganser","New Brunswick","2","1983",""
"1290","Common Merganser","Newfoundland and Labrador","1","1983","6.33"
"1290","Common Merganser","Nova Scotia","1","1983",""
"1290","Common Merganser","Nova Scotia","2","1983",""
"1290","Common Merganser","Ontario","1","1983",""
"1290","Common Merganser","Ontario","2","1983","1.25"
"1290","Common Merganser","Ontario","3","1983","21"
"1290","Common Merganser","Prince Edward Island","1","1983",""
"1290","Common Merganser","Quebec","1","1983","1.53"
"1290","Common Merganser","Quebec","2","1983","2.27"
"1290","Common Merganser","Alberta","1","1984",""
"1290","Common Merganser","British Columbia","1","1984",""
"1290","Common Merganser","British Columbia","2","1984",""
"1290","Common Merganser","New Brunswick","1","1984",""
"1290","Common Merganser","New Brunswick","2","1984",""
"1290","Common Merganser","Newfoundland and Labrador","1","1984",""
"1290","Common Merganser","Newfoundland and Labrador","2","1984",""
"1290","Common Merganser","Nova Scotia","1","1984",""
"1290","Common Merganser","Nova Scotia","2","1984",""
"1290","Common Merganser","Ontario","1","1984",""
"1290","Common Merganser","Ontario","2","1984","0.82"
"1290","Common Merganser","Ontario","3","1984",""
"1290","Common Merganser","Prince Edward Island","1","1984",""
"1290","Common Merganser","Quebec","1","1984","1.25"
"1290","Common Merganser","Quebec","2","1984","3.21"
"1290","Common Merganser","Alberta","1","1985",""
"1290","Common Merganser","British Columbia","2","1985",""
"1290","Common Merganser","New Brunswick","1","1985",""
"1290","Common Merganser","New Brunswick","2","1985",""
"1290","Common Merganser","Newfoundland and Labrador","1","1985",""
"1290","Common Merganser","Newfoundland and Labrador","2","1985",""
"1290","Common Merganser","Nova Scotia","1","1985",""
"1290","Common Merganser","Nova Scotia","2","1985",""
"1290","Common Merganser","Ontario","1","1985",""
"1290","Common Merganser","Ontario","2","1985",""
"1290","Common Merganser","Ontario","3","1985",""
"1290","Common Merganser","Quebec","1","1985","4.67"
"1290","Common Merganser","Quebec","2","1985","3.57"
"1290","Common Merganser","Alberta","1","1986",""
"1290","Common Merganser","British Columbia","1","1986",""
"1290","Common Merganser","British Columbia","2","1986",""
"1290","Common Merganser","New Brunswick","1","1986",""
"1290","Common Merganser","New Brunswick","2","1986",""
"1290","Common Merganser","Newfoundland and Labrador","1","1986","21"
"1290","Common Merganser","Newfoundland and Labrador","2","1986",""
"1290","Common Merganser","Nova Scotia","1","1986",""
"1290","Common Merganser","Nova Scotia","2","1986",""
"1290","Common Merganser","Northwest Territories","1","1986",""
"1290","Common Merganser","Ontario","1","1986",""
"1290","Common Merganser","Ontario","2","1986","1.05"
"1290","Common Merganser","Ontario","3","1986",""
"1290","Common Merganser","Prince Edward Island","1","1986",""
"1290","Common Merganser","Quebec","1","1986","1.76"
"1290","Common Merganser","Quebec","2","1986","2.67"
"1290","Common Merganser","Alberta","1","1987",""
"1290","Common Merganser","British Columbia","1","1987",""
"1290","Common Merganser","British Columbia","2","1987",""
"1290","Common Merganser","Manitoba","1","1987",""
"1290","Common Merganser","Manitoba","2","1987",""
"1290","Common Merganser","New Brunswick","1","1987",""
"1290","Common Merganser","New Brunswick","2","1987",""
"1290","Common Merganser","Newfoundland and Labrador","1","1987",""
"1290","Common Merganser","Nova Scotia","1","1987",""
"1290","Common Merganser","Nova Scotia","2","1987",""
"1290","Common Merganser","Ontario","2","1987",""
"1290","Common Merganser","Ontario","3","1987",""
"1290","Common Merganser","Quebec","1","1987","1.73"
"1290","Common Merganser","Quebec","2","1987","3.43"
"1290","Common Merganser","Saskatchewan","1","1987",""
"1290","Common Merganser","Alberta","1","1988",""
"1290","Common Merganser","British Columbia","1","1988",""
"1290","Common Merganser","British Columbia","2","1988",""
"1290","Common Merganser","New Brunswick","1","1988",""
"1290","Common Merganser","New Brunswick","2","1988",""
"1290","Common Merganser","Newfoundland and Labrador","1","1988",""
"1290","Common Merganser","Newfoundland and Labrador","2","1988",""
"1290","Common Merganser","Nova Scotia","1","1988",""
"1290","Common Merganser","Nova Scotia","2","1988",""
"1290","Common Merganser","Ontario","1","1988",""
"1290","Common Merganser","Ontario","2","1988","1.17"
"1290","Common Merganser","Ontario","3","1988",""
"1290","Common Merganser","Quebec","1","1988","2.88"
"1290","Common Merganser","Quebec","2","1988","23"
"1290","Common Merganser","Alberta","1","1989",""
"1290","Common Merganser","New Brunswick","1","1989",""
"1290","Common Merganser","New Brunswick","2","1989",""
"1290","Common Merganser","Newfoundland and Labrador","1","1989",""
"1290","Common Merganser","Newfoundland and Labrador","2","1989",""
"1290","Common Merganser","Nova Scotia","1","1989",""
"1290","Common Merganser","Nova Scotia","2","1989",""
"1290","Common Merganser","Ontario","1","1989",""
"1290","Common Merganser","Ontario","2","1989",""
"1290","Common Merganser","Ontario","3","1989",""
"1290","Common Merganser","Quebec","1","1989","2.43"
"1290","Common Merganser","Quebec","2","1989","4.29"
"1290","Common Merganser","Alberta","2","1990",""
"1290","Common Merganser","New Brunswick","1","1990",""
"1290","Common Merganser","New Brunswick","2","1990",""
