"Species code","Species name","Province","Zone","Year","Estimate","± 1 standard error"
"1290","Common Merganser","Nova Scotia","2","1975","2928","435"
"1290","Common Merganser","Ontario","1","1975","457","37"
"1290","Common Merganser","Ontario","2","1975","1363","88"
"1290","Common Merganser","Ontario","3","1975","2749","175"
"1290","Common Merganser","Prince Edward Island","1","1975","83","23"
"1290","Common Merganser","Quebec","1","1975","10310","857"
"1290","Common Merganser","Quebec","2","1975","2519","275"
"1290","Common Merganser","Yukon Territory","1","1975","101","21"
"1290","Common Merganser","British Columbia","2","1976","167","28"
"1290","Common Merganser","New Brunswick","2","1976","584","130"
"1290","Common Merganser","Newfoundland and Labrador","1","1976","2810","204"
"1290","Common Merganser","Newfoundland and Labrador","2","1976","1103","298"
"1290","Common Merganser","Nova Scotia","1","1976","569","46"
"1290","Common Merganser","Nova Scotia","2","1976","141","15"
"1290","Common Merganser","Ontario","1","1976","490","37"
"1290","Common Merganser","Ontario","2","1976","2038","199"
"1290","Common Merganser","Ontario","3","1976","1046","89"
"1290","Common Merganser","Quebec","1","1976","7958","598"
"1290","Common Merganser","Quebec","2","1976","5495","674"
"1290","Common Merganser","British Columbia","2","1977","97","0"
"1290","Common Merganser","New Brunswick","1","1977","483","0"
"1290","Common Merganser","New Brunswick","2","1977","523","0"
"1290","Common Merganser","Newfoundland and Labrador","1","1977","3003","0"
"1290","Common Merganser","Newfoundland and Labrador","2","1977","1376","0"
"1290","Common Merganser","Nova Scotia","1","1977","1390","0"
"1290","Common Merganser","Nova Scotia","2","1977","1096","0"
"1290","Common Merganser","Northwest Territories","1","1977","246","0"
"1290","Common Merganser","Ontario","1","1977","664","0"
"1290","Common Merganser","Ontario","2","1977","2192","0"
"1290","Common Merganser","Ontario","3","1977","839","0"
"1290","Common Merganser","Prince Edward Island","1","1977","270","0"
"1290","Common Merganser","Quebec","1","1977","6517","0"
"1290","Common Merganser","Quebec","2","1977","3500","0"
"1290","Common Merganser","British Columbia","2","1978","66","7"
"1290","Common Merganser","Manitoba","2","1978","282","39"
"1290","Common Merganser","New Brunswick","1","1978","456","31"
"1290","Common Merganser","New Brunswick","2","1978","124","14"
"1290","Common Merganser","Newfoundland and Labrador","1","1978","8615","496"
"1290","Common Merganser","Newfoundland and Labrador","2","1978","2611","408"
"1290","Common Merganser","Nova Scotia","1","1978","1281","95"
"1290","Common Merganser","Nova Scotia","2","1978","1068","117"
"1290","Common Merganser","Ontario","1","1978","1309","102"
"1290","Common Merganser","Ontario","2","1978","1231","75"
"1290","Common Merganser","Ontario","3","1978","2795","162"
"1290","Common Merganser","Prince Edward Island","1","1978","110","22"
"1290","Common Merganser","Quebec","1","1978","11548","679"
"1290","Common Merganser","Quebec","2","1978","2682","197"
"1290","Common Merganser","Yukon Territory","1","1978","29","9"
"1290","Common Merganser","Alberta","2","1979","345","15"
"1290","Common Merganser","British Columbia","2","1979","69","9"
"1290","Common Merganser","New Brunswick","1","1979","242","20"
"1290","Common Merganser","New Brunswick","2","1979","610","55"
"1290","Common Merganser","Newfoundland and Labrador","1","1979","5937","717"
"1290","Common Merganser","Newfoundland and Labrador","2","1979","764","166"
"1290","Common Merganser","Nova Scotia","1","1979","679","105"
"1290","Common Merganser","Nova Scotia","2","1979","414","40"
"1290","Common Merganser","Ontario","1","1979","547","49"
"1290","Common Merganser","Ontario","2","1979","1997","182"
"1290","Common Merganser","Ontario","3","1979","2425","143"
"1290","Common Merganser","Prince Edward Island","1","1979","315","35"
"1290","Common Merganser","Quebec","1","1979","10384","884"
"1290","Common Merganser","Quebec","2","1979","1727","161"
"1290","Common Merganser","British Columbia","2","1980","52","6"
"1290","Common Merganser","New Brunswick","1","1980","386","39"
"1290","Common Merganser","New Brunswick","2","1980","190","24"
"1290","Common Merganser","Newfoundland and Labrador","1","1980","3419","324"
"1290","Common Merganser","Newfoundland and Labrador","2","1980","520","84"
"1290","Common Merganser","Nova Scotia","1","1980","730","68"
"1290","Common Merganser","Nova Scotia","2","1980","1195","141"
"1290","Common Merganser","Northwest Territories","1","1980","301","182"
"1290","Common Merganser","Ontario","1","1980","396","38"
"1290","Common Merganser","Ontario","2","1980","4751","383"
"1290","Common Merganser","Ontario","3","1980","2109","146"
"1290","Common Merganser","Quebec","1","1980","11295","652"
