"pr","zo","period","startweek","endweek"
"NF",1,1,1,5
"NF",1,2,6,6
"NF",1,3,7,7
"NF",1,4,8,8
"NF",1,5,9,9
"NF",1,6,10,11
"NF",1,7,12,18
"NF",1,8,19,21
"NF",1,9,22,26
"NF",2,1,1,1
