"Variable code","Variable name","Province","Zone","Citizenship","Year","Estimate","± 1 standard error"
"ACTIOT","Active non-waterfowl hunters","British Columbia","2","All hunters","1978","1858","239"
"ACTIOT","Active non-waterfowl hunters","Manitoba","1","All hunters","1978","4835","354"
"ACTIOT","Active non-waterfowl hunters","Manitoba","2","All hunters","1978","1454","176"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","1","All hunters","1978","2051","127"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","2","All hunters","1978","798","77"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","1","All hunters","1978","6243","386"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","2","All hunters","1978","379","67"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","1","All hunters","1978","2583","180"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","2","All hunters","1978","1332","118"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","1","All hunters","1978","146","52"
"ACTIOT","Active non-waterfowl hunters","Ontario","1","All hunters","1978","8554","555"
"ACTIOT","Active non-waterfowl hunters","Ontario","2","All hunters","1978","19191","1263"
"ACTIOT","Active non-waterfowl hunters","Ontario","3","All hunters","1978","3881","299"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","1","All hunters","1978","752","112"
"ACTIOT","Active non-waterfowl hunters","Quebec","1","All hunters","1978","14478","678"
"ACTIOT","Active non-waterfowl hunters","Quebec","2","All hunters","1978","3485","259"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","1","All hunters","1978","3449","341"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","2","All hunters","1978","1118","151"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","3","All hunters","1978","3282","294"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","1","All hunters","1978","50","10"
"ACTIOT","Active non-waterfowl hunters","Alberta","1","All hunters","1979","2041","291"
"ACTIOT","Active non-waterfowl hunters","Alberta","2","All hunters","1979","3742","384"
"ACTIOT","Active non-waterfowl hunters","British Columbia","1","All hunters","1979","1138","154"
"ACTIOT","Active non-waterfowl hunters","British Columbia","2","All hunters","1979","1508","170"
"ACTIOT","Active non-waterfowl hunters","Manitoba","1","All hunters","1979","2603","288"
"ACTIOT","Active non-waterfowl hunters","Manitoba","2","All hunters","1979","1390","163"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","1","All hunters","1979","1539","122"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","2","All hunters","1979","865","74"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","1","All hunters","1979","5337","414"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","2","All hunters","1979","467","86"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","1","All hunters","1979","2012","177"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","2","All hunters","1979","820","94"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","1","All hunters","1979","31","16"
"ACTIOT","Active non-waterfowl hunters","Ontario","1","All hunters","1979","6455","516"
"ACTIOT","Active non-waterfowl hunters","Ontario","2","All hunters","1979","13455","1085"
"ACTIOT","Active non-waterfowl hunters","Ontario","3","All hunters","1979","3198","315"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","1","All hunters","1979","689","110"
"ACTIOT","Active non-waterfowl hunters","Quebec","1","All hunters","1979","12382","706"
"ACTIOT","Active non-waterfowl hunters","Quebec","2","All hunters","1979","2733","301"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","1","All hunters","1979","1528","236"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","2","All hunters","1979","999","144"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","3","All hunters","1979","2130","250"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","1","All hunters","1979","18","5"
"ACTIOT","Active non-waterfowl hunters","Alberta","1","All hunters","1980","2558","291"
"ACTIOT","Active non-waterfowl hunters","Alberta","2","All hunters","1980","4274","417"
"ACTIOT","Active non-waterfowl hunters","British Columbia","1","All hunters","1980","1207","164"
"ACTIOT","Active non-waterfowl hunters","British Columbia","2","All hunters","1980","1522","177"
"ACTIOT","Active non-waterfowl hunters","Manitoba","1","All hunters","1980","3636","343"
"ACTIOT","Active non-waterfowl hunters","Manitoba","2","All hunters","1980","1939","212"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","1","All hunters","1980","1680","119"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","2","All hunters","1980","742","65"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","1","All hunters","1980","4591","363"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","2","All hunters","1980","500","95"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","1","All hunters","1980","2397","174"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","2","All hunters","1980","1391","129"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","1","All hunters","1980","114","47"
"ACTIOT","Active non-waterfowl hunters","Ontario","1","All hunters","1980","6547","472"
"ACTIOT","Active non-waterfowl hunters","Ontario","2","All hunters","1980","14225","1098"
"ACTIOT","Active non-waterfowl hunters","Ontario","3","All hunters","1980","3426","371"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","1","All hunters","1980","659","96"
"ACTIOT","Active non-waterfowl hunters","Quebec","1","All hunters","1980","12914","669"
"ACTIOT","Active non-waterfowl hunters","Quebec","2","All hunters","1980","2959","301"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","1","All hunters","1980","2166","271"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","2","All hunters","1980","1020","134"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","3","All hunters","1980","3308","282"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","1","All hunters","1980","27","13"
"ACTIOT","Active non-waterfowl hunters","Alberta","1","All hunters","1981","2433","313"
"ACTIOT","Active non-waterfowl hunters","Alberta","2","All hunters","1981","3243","352"
"ACTIOT","Active non-waterfowl hunters","British Columbia","1","All hunters","1981","1119","167"
"ACTIOT","Active non-waterfowl hunters","British Columbia","2","All hunters","1981","1539","187"
"ACTIOT","Active non-waterfowl hunters","Manitoba","1","All hunters","1981","3481","348"
"ACTIOT","Active non-waterfowl hunters","Manitoba","2","All hunters","1981","1055","148"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","1","All hunters","1981","1547","127"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","2","All hunters","1981","813","70"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","1","All hunters","1981","5590","457"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","2","All hunters","1981","545","98"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","1","All hunters","1981","2317","183"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","2","All hunters","1981","1126","120"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","1","All hunters","1981","69","29"
"ACTIOT","Active non-waterfowl hunters","Ontario","1","All hunters","1981","5502","424"
"ACTIOT","Active non-waterfowl hunters","Ontario","2","All hunters","1981","15838","1182"
"ACTIOT","Active non-waterfowl hunters","Ontario","3","All hunters","1981","3022","330"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","1","All hunters","1981","626","104"
"ACTIOT","Active non-waterfowl hunters","Quebec","1","All hunters","1981","11445","641"
"ACTIOT","Active non-waterfowl hunters","Quebec","2","All hunters","1981","2274","256"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","1","All hunters","1981","1535","200"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","2","All hunters","1981","929","136"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","3","All hunters","1981","1868","202"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","1","All hunters","1981","40","17"
